edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,cumulative_distance
0.3653790976695524,-3.747596936108046,1.341727331036898,-3.9831614103490565,2.199530879175373,-4.0659067378212566,2.997942772104812,-4.103851344478195,3.7645393206029367,-4.124267128164076,2.199530879175373,-4.0659067378212566,6.670434691924062
0.3557618870937078,-3.7503733361246647,1.3342910049518137,-3.9898548634362605,2.1937145706153394,-4.074044593609075,2.9932119737685103,-4.112663039847078,3.760566336172357,-4.13344446836959,2.1937145706153394,-4.074044593609075,6.680437398662184
0.3461235835984431,-3.7530756022191847,1.326821287814071,-3.99651103243625,2.187868153656218,-4.082160845874064,2.9884552757520613,-4.121460781156816,3.756570978904803,-4.142612090680634,2.187868153656218,-4.082160845874064,6.690440105400303
0.3364647586332769,-3.755703574175789,1.3193183665556936,-4.003129750776298,2.181991708539193,-4.090255383221894,2.9836727192142467,-4.130244492282266,3.7525532725699597,-4.151769940556033,2.181991708539193,-4.090255383221894,6.700442812138424
0.32678598486443344,-3.7582570961835193,1.3117824289396491,-4.009710852820895,2.1760853159175806,-4.098328094556273,2.9788643455375965,-4.139014097219687,3.7485132410704742,-4.160917963512745,2.1760853159175806,-4.098328094556273,6.710445518876544
0.31708783614089026,-3.760736016845512,1.3042136635551504,-4.016254173875888,2.1701490568557213,-4.106378869080462,2.9740301963280316,-4.147769520087397,3.744450908441813,-4.1700561051261955,2.1701490568557213,-4.106378869080462,6.720448225614665
0.3073708874603551,-3.7631401891879754,1.2966122598129348,-4.022759550192609,2.1641830128278694,-4.114407596298806,2.969170313414503,-4.156510685126426,3.7403662988521185,-4.179184311030597,2.1641830128278694,-4.114407596298806,6.7304509323527855
0.2976357149351743,-3.7654694706689007,1.2889784079405255,-4.029226818971963,2.158187265717072,-4.122414166018243,2.9642847388486313,-4.165237516701176,3.7362594366020674,-4.188302526919271,2.158187265717072,-4.122414166018243,6.740453639090905
0.28788289575817566,-3.767723723186518,1.2813122989774697,-4.0356558183685145,2.152161897814047,-4.13039846834982,2.9593735149043416,-4.1739499393000745,3.7321303461247246,-4.197410698544976,2.152161897814047,-4.13039846834982,6.750456345829026
0.27811300816844675,-3.769902813087481,1.2736141247705588,-4.042046387494528,2.146106991816054,-4.138360393710203,2.9544366840774976,-4.182647877536224,3.7279790519853964,-4.206508771720223,2.146106991816054,-4.138360393710203,6.760459052567145
0.2683266314170517,-3.772006611174792,1.265884077969027,-4.048398366423998,2.140022630825756,-4.146299832823174,2.949474289085535,-4.191331256148061,3.723805578881488,-4.215596692317604,2.140022630825756,-4.146299832823174,6.770461759305266
0.25852434573268773,-3.7740349927154613,1.2581223520197304,-4.054711596196652,2.1339088983500845,-4.1542166767211395,2.9444863728670914,-4.199999999999999,3.719609951642353,-4.224674406270115,2.1339088983500845,-4.1542166767211395,6.7804644660433855
0.2487067322872834,-3.775987837447905,1.2503291411623056,-4.060985918821926,2.1277658782990874,-4.162110816746619,2.9394729785816334,-4.20865403408309,3.7153921952291475,-4.233741859571468,2.1277658782990874,-4.162110816746619,6.790467172781507
0.23887437316154134,-3.7778650295890723,1.2425046404243087,-4.067221177282919,2.121593654984782,-4.169982144553742,2.934434149609086,-4.217293283515661,3.7111523347346824,-4.242798998276426,2.121593654984782,-4.169982144553742,6.8004698795196274
0.229027851310428,-3.7796664578413113,1.2346490456163353,-4.073417215540326,2.1153923131199948,-4.17783055210973,2.929369929549454,-4.225917673543969,3.706890395383272,-4.251845768501111,2.1153923131199948,-4.17783055210973,6.810472586257748
0.21916775052860882,-3.781392015398968,1.2267625533271198,-4.079573878536337,2.1091619378172006,-4.18565593169638,2.9242803622224476,-4.2345271295428475,3.702606402530584,-4.2608821164233355,2.1091619378172006,-4.18565593169638,6.8204752929958685
0.20929465541583675,-3.7830415999547196,1.2188453609186154,-4.085691012198521,2.1029026145873537,-4.193458175911549,2.9191654916671013,-4.243121577016351,3.698300381663491,-4.269907988282914,2.1029026145873537,-4.193458175911549,6.830477999733989
0.19940915134229098,-3.7846151137056374,1.2108976665210562,-4.091768463443682,2.0966144293387146,-4.20123717767062,2.9140253621413943,-4.251700941598398,3.693972358399918,-4.278923330381988,2.0966144293387146,-4.20123717767062,6.84048070647211
0.1895118244138711,-3.7861124633589887,1.2029196690279975,-4.097806080181689,2.0902974683756694,-4.208992830207976,2.9088600181218647,-4.260265149053422,3.6896223584886876,-4.287928089085344,2.0902974683756694,-4.208992830207976,6.85048341321023
0.17960326143744693,-3.787533560137767,1.1949115680913398,-4.10380371131928,2.0839518183975474,-4.216725027078465,2.9036695043032292,-4.268814125276999,3.68525040780937,-4.296922210820733,2.0839518183975474,-4.216725027078465,6.86048611994835
0.16968404988606717,-3.7888783197859537,1.1868735641163306,-4.109761206763848,2.0775775664974305,-4.22443366215886,2.898453865597993,-4.277347796296508,3.680856532372127,-4.305905642079186,2.0775775664974305,-4.22443366215886,6.87048882668647
0.15975477786412848,-3.7901466625735165,1.1788058582565517,-4.115678417427191,2.0711748001609567,-4.232118629649316,2.893213147136061,-4.285866088271752,3.676440758317559,-4.314878329415339,2.0711748001609567,-4.232118629649316,6.880491533424591
