edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,intersection_border1_x,intersection_border1_y,intersection_border2_x,intersection_border2_y,centerpoint1_stop_x,centerpoint1_stop_y,centerpoint2_stop_x,centerpoint2_stop_y,cumulative_distance
2.5009442053229103,-1.8852985516845382,1.3269979947032757,-1.4679797005863984,0.39925320712138446,-0.40072493683111127,-0.4007203025487594,0.8305405861013199,-1.3842722921798571,1.813345512000425,0.39925320712138446,-0.40072493683111127,,,,,,,,,9.29860241166366
2.5107612678187485,-1.8833461948460712,1.3362764911747522,-1.4717341534754973,0.406317829763135,-0.40781560112974635,-0.39349397149201587,0.8236147982169059,-1.3747578783319476,1.8102373700733598,0.406317829763135,-0.40781560112974635,,,,,,,,,9.30861172798728
2.5205529107438607,-1.8812703057767806,1.3455643212687327,-1.4754652802529447,0.4133824524048856,-0.4149062654283814,-0.3862781382963333,0.8166780729014261,-1.365256643437214,1.8070888865102779,0.4133824524048856,-0.4149062654283814,,,,,,,,,9.3186210443109
2.5303432325864446,-1.8791879966041236,1.3548716457021437,-1.4791476877750547,0.42044707504663614,-0.4219969297270164,-0.3790724889043945,0.8097307691000887,-1.3557676437333397,1.8039039920895605,0.42044707504663614,-0.4219969297270164,,,,,,,,,9.32863036063452
2.540127812173989,-1.8770795485578442,1.364196420082639,-1.4827854798819877,0.4275116976883868,-0.4290875940256514,-0.37187691981146564,0.8027730253096441,-1.3462931179516013,1.8006760245427724,0.4275116976883868,-0.4290875940256514,,,,,,,,,9.338639672634644
2.5498894424145404,-1.8748666345697544,1.373532330375315,-1.4863948000776444,0.4345829047059766,-0.43617168592442035,-0.3646908001020099,0.7958055227192005,-1.3368302342757414,1.7974143440636239,0.4345829047059766,-0.43617168592442035,,,,,,,,,9.348648988951696
2.55965107265509,-1.872653720581665,1.382893366509973,-1.4899383554711483,0.441661016087684,-0.44324888539899765,-0.3575137952883338,0.7888286317041856,-1.327382783051912,1.7941079746581796,0.441661016087684,-0.44324888539899765,,,,,,,,,9.358658305257084
2.5693993722040753,-1.8703837851699887,1.3922619092182817,-1.4934619876005448,0.44874000784284956,-0.45032520426063666,-0.3503455623842531,0.7818427285909447,-1.3179467097422133,1.7907695169808926,0.44874000784284956,-0.45032520426063666,,,,,,,,,9.368667621552667
2.5791303243337973,-1.8680396469656595,1.4016541866509644,-1.496921978625849,0.45582038299092165,-0.45740013892235676,-0.34318574996823803,0.7748481956213803,-1.3085266768568269,1.7873858217064713,0.45582038299092165,-0.45740013892235676,,,,,,,,,9.37867693784709
2.5888612764635175,-1.865695508761331,1.411057838776616,-1.5003507024615093,0.4629026554640531,-0.46447317428902174,-0.33603399824807595,0.7678454209255879,-1.2991180993146842,1.7839706371333341,0.4629026554640531,-0.46447317428902174,,,,,,,,,9.388686254110109
2.59857084934642,-1.863265193300326,1.4204778572690697,-1.5037344378042183,0.469987527010887,-0.4715436061865807,-0.32888993912691566,0.7608347985023595,-1.289725807332762,1.7805106856021344,0.469987527010887,-0.4715436061865807,,,,,,,,,9.398695570294459
